cmp_ID	formula	RT	seen_in	comments	identified
X0100	300.067424	59	2016_05: MIX-01 vs Blank POS	MIX-01	NO
X0101	C11H21NO4	36	2016_05: MIX-02 vs Blank POS	C4 Carnitine	YES
X0102	C5H4N4O	117	2016_05: MIX-02 vs Blank POS	Hypoxanthine	YES
X0103	C6H6N4O2	69	2016_05: MIX-02 vs Blank POS	1-Methylxanthine	YES
X0104	131.069324	139	2016_05: MIX-02 vs Blank POS	MIX-02	NO
X0105	253.128824	36	2016_05: MIX-02 vs Blank POS	MIX-02	NO
X0106	462.292424	36	2016_05: MIX-02 vs Blank POS	MIX-02	NO
X0107	156.027424	41	2016_05: MIX-02 vs Blank POS	MIX-02	NO
X0108	180.001924	113	2016_05: MIX-02 vs Blank POS	MIX-02	NO
X0109	C23H45NO4	33	2016_05: MIX-03 vs Blank POS	Palmitoylcarnitine	YES
X0110	C6H13N3O3	179	2016_05: MIX-03 vs Blank POS	Citrulline	YES
X0111	C4H5N3O	140	2016_05: MIX-03 vs Blank POS	Cytosine / Cytidine [M+H-ribose]+	YES
X0112	C6H13NO2	139	2016_05: MIX-03 vs Blank POS	Isoleucine	YES
X0113	401.340204	33	2016_05: MIX-03 vs Blank POS	MIX-03	NO
X0114	181.182364	14	2016_05: MIX-03 vs Blank POS	MIX-03	NO
X0115	88.500254	205	2016_05: MIX-03 vs Blank POS	MIX-03	NO
X0116	C20H32N6O12S2	208	2016_05: MIX-11 vs Blank POS	Glutathione Reduced	YES
X0117	C4H9NO2	115	2016_05: MIX-04 vs Blank POS	Gamma-Aminobutyric acid	YES
X0118	C17H20N4O6	142	2016_05: MIX-04 vs Blank POS	Riboflavin	YES
X0119	C8H11N	36	2016_05: MIX-04 vs Blank POS	Phenylethylamine	YES
X0120	C5H10N2O3	176	2016_05: MIX-04 vs Blank POS	Glutamine	YES
X0121a	297.089204	192	2016_05: MIX-04 vs Blank POS	MIX-04	NO
X0121b	297.089124	37	2016_05: MIX-05 vs Blank POS	MIX-05	NO
X0122	328.061654	36	2016_05: MIX-04 vs Blank POS	MIX-04	NO
X0123	335.066054	140	2016_05: MIX-04 vs Blank POS	MIX-04	NO
X0124	382.032964	127	2016_05: MIX-04 vs Blank POS	MIX-04	NO
X0125	281.050024	198	2016_05: MIX-06 vs Blank POS	MIX-06	NO
X0126	C11H15N5O3S	68	2016_05: MIX-05 vs Blank POS	5-MTA	YES
X0127a	78.014494	57	2016_05: MIX-05 vs Blank POS	MIX-05	NO
X0127b	78.014454	78	2016_05: MIX-05 vs Blank POS	MIX-05	NO
X0127c	78.014644	155	2016_05: MIX-08 vs Blank POS	MIX-08	NO
X0127d	78.014524	108	2016_05: MIX-17 vs Blank POS	MIX-17	NO
X0128	C21H30O4	31	2016_05: MIX-05 vs Blank POS	Corticosterone	YES
X0129	99.995794	37	2016_05: MIX-05 vs Blank POS	MIX-05	NO
X0130	62.991804	50	2016_05: MIX-05 vs Blank POS	MIX-05	NO
X0131	C11H12N2O2	150	2016_05: MIX-06 vs Blank POS	Tryptophan	YES
X0132	C7H11NO5	75	2016_05: MIX-06 vs Blank POS	Acetylglutamic acid	YES
X0133	246.159024	175	2016_05: MIX-06 vs Blank POS	MIX-06	NO
X0134	C18H38NO5P	148	2016_05: MIX-06 vs Blank POS	Sphingosine-1-phosphate	YES
X0135	107.569624	173	2016_05: MIX-06 vs Blank POS	MIX-06	NO
X0136	439.053924	48	2016_05: MIX-06 vs Blank POS	MIX-06	NO
X0137	384.027324	152	2016_05: MIX-06 vs Blank POS	MIX-06	NO
X0138	423.211024	148	2016_05: MIX-06 vs Blank POS	MIX-06	NO
X0139	429.905024	144	2016_05: MIX-06 vs Blank POS	MIX-06	NO
X0140	C5H11NO3S	180	2016_05: MIX-06 vs Blank POS	Methioninesulfoxide	YES
X0141	C5H13NO	41	2016_05: MIX-06 vs Blank POS	Choline	YES
X0142	C12H23NO4	36	2016_05: MIX-08 vs Blank POS	C5 Carnitine	YES
X0143a	C7H15NO3	65	2016_05: MIX-11 vs Blank POS	L-Carnitine 	YES
X0143b	C7H15NO3	96	2016_05: MIX-11 vs Blank POS	MIX-11 (¿isomer L-Carnitine ?)	NO
X0144	C10H16N2O3S	56	2016_05: MIX-08 vs Blank POS	Biotin	YES
X0145	173.116134	178	2016_05: MIX-08 vs Blank POS	MIX-08	NO
X0146	C10H12N4O5	142	2016_05: MIX-08 vs Blank POS	Inosine	YES
X0147	238.061984	213	2016_05: MIX-08 vs Blank POS	MIX-08	NO
X0148	C6H14N2O2	186	2016_05: MIX-11 vs Blank POS	Lysine 	YES
X0149	266.069504	66	2016_05: MIX-08 vs Blank POS	MIX-08	NO
X0150	288.051144	50	2016_05: MIX-08 vs Blank POS	MIX-08	NO
X0151	165.042304	68	2016_05: MIX-08 vs Blank POS	MIX-08	NO
X0152	554.119384	50	2016_05: MIX-08 vs Blank POS	MIX-08	NO
X0153	187.024064	67	2016_05: MIX-08 vs Blank POS	MIX-08	NO
X0154	312.043934	140	2016_05: MIX-08 vs Blank POS	MIX-08	NO
X0155	408.153824	30	2016_05: MIX-08 vs Blank POS	MIX-08	NO
X0156	628.051524	32	2016_05: MIX-08 vs Blank POS	MIX-08	NO
X0157	550.1248	63	2016_05: MIX-09 vs Blank POS	MIX-09	NO
X0158	C6H11NO2	153	2016_05: MIX-09 vs Blank POS	Pipecolic acid	YES
X0159	C10H13N5O5	161	2016_05: MIX-09 vs Blank POS	Guanosine	YES
X0160	C10H13N4O8P	211	2016_05: MIX-09 vs Blank POS	IMP	YES
X0161	C5H9NO4	71	2016_05: MIX-09 vs Blank POS	N-Acetylserine	YES
X0162	463.196054	30	2016_05: MIX-09 vs Blank POS	MIX-09	NO
X0163	323.051774	216	2016_05: MIX-09 vs Blank POS	MIX-09	NO
X0164	360.051524	69	2016_05: MIX-09 vs Blank POS	MIX-09	NO
X0165	126.042674	65	2016_05: MIX-09 vs Blank POS	MIX-09	NO
X0166	391.999074	72	2016_05: MIX-09 vs Blank POS	MIX-09	NO
X0167	528.142684	63	2016_05: MIX-09 vs Blank POS	MIX-09	NO
X0168	C7H19N3	187	2016_05: MIX-10 vs Blank POS	Spermidine	YES
X0169	C14H20N6O5S	183	2016_05: MIX-10 vs Blank POS	SAH	YES
X0170	363.057974	216	2016_05: MIX-10 vs Blank POS	MIX-10	NO
X0171	C9H13N3O5	155	2016_05: MIX-10 vs Blank POS	Cytidine	YES
X0172	161.0688421	176	2016_05: MIX-10 vs Blank POS	MIX-10	NO
X0173	414.1462143	148	2016_05: MIX-10 vs Blank POS	MIX-10	NO
X0174	406.1031432	183	2016_05: MIX-10 vs Blank POS	MIX-10	NO
X0175	268.0993367	127	2016_05: MIX-10 vs Blank POS	MIX-10	NO
X0176	C11H18N2O2	33	2016_05: MIX-11 vs Blank POS	"L,L-Cyclo(leucylprolyl)"	YES
X0178	165.0648814	160	2016_05: MIX-11 vs Blank POS	MIX-11	NO
X0179a	C8H11NO	50	2016_05: MIX-11 vs Blank POS	p-Tyramine	YES
X0179b	137.08426	69	2016_05: MIX-11 vs Blank POS	MIX-11	NO
X0180	C8H18N4O2	171	2016_05: MIX-11 vs Blank POS	SDMA	YES
X0181	187.0469248	160	2016_05: MIX-11 vs Blank POS	MIX-11	NO
X0182	162.1081679	64	2016_05: MIX-11 vs Blank POS	MIX-11	NO
X0183	239.1018233	162	2016_05: MIX-11 vs Blank POS	MIX-11	NO
X0184	321.9994746	118	2016_05: MIX-11 vs Blank POS	MIX-11	NO
X0185	C12H16N4OS	130	2016_05: MIX-12 vs Blank POS	Thiamine	YES
X0186	C10H12N2	37	2016_05: MIX-12 vs Blank POS	Tryptamine	YES
X0187	326.071624	32	2016_05: MIX-12 vs Blank POS	MIX-12	NO
X0188	C9H14N4O3	183	2016_05: MIX-12 vs Blank POS	Carnosine	YES
X0189	121.063824	125	2016_05: MIX-12 vs Blank POS	MIX-12	NO
X0190	420.036824	36	2016_05: MIX-12 vs Blank POS	MIX-12	NO
X0191	C19H19N7O6	156	2016_05: MIX-12 vs Blank POS	Folic acid	YES
X0192	241.0923	55	2016_05: MIX-13 vs Blank POS	MIX-13	NO
X0193	C7H11N3O2	179	2016_05: MIX-13 vs Blank POS	1-Methylhistidine	YES
X0194	C8H11NO2	120	2016_05: MIX-13 vs Blank POS	Dopamine	YES
X0195	554.083024	115	2016_05: MIX-13 vs Blank POS	MIX-13	NO
X0196	C11H19NO9	172	2016_05: MIX-13 vs Blank POS	Acetylneuraminic Acid	YES
X0197	C10H13N5O5	158	2016_05: MIX-13 vs Blank POS	8-Oxo-2-Deoxyguanosine	YES
X0198	C9H17NO5	34	2016_05: MIX-13 vs Blank POS	Pantothenic Acid	YES
X0199	219.110424	55	2016_05: MIX-13 vs Blank POS	MIX-13	NO
X0200	C5H9NO3	43	2016_05: MIX-13 vs Blank POS	N-Acetyl-beta-alanine	YES
X0201	504.165924	33	2016_05: MIX-13 vs Blank POS	MIX-13	NO
X0202	250.094524	29	2016_05: MIX-13 vs Blank POS	MIX-13	NO
X0203	546.193824	29	2016_05: MIX-13 vs Blank POS	MIX-13	NO
X0204	101.108324	202	2016_05: MIX-13 vs Blank POS	MIX-13	NO
X0205	555.085924	116	2016_05: MIX-13 vs Blank POS	MIX-13	NO
X0206	386.172424	30	2016_05: MIX-13 vs Blank POS	MIX-13	NO
X0207	416.113924	48	2016_05: MIX-13 vs Blank POS	MIX-13	NO
X0208	424.006724	117	2016_05: MIX-13 vs Blank POS	MIX-13	NO
X0209	C4H8N2O3	81	2016_05: MIX-14 vs Blank POS	Ureidopropionic acid	YES
X0210	212.055824	85	2016_05: MIX-14 vs Blank POS	MIX-14	NO
X0211	159.067924	80	2016_05: MIX-14 vs Blank POS	MIX-14	NO
X0212	184.056224	81	2016_05: MIX-14 vs Blank POS	MIX-14	NO
X0213	C21H27N7O14P2	222	2016_05: MIX-14 vs Blank POS	NAD	YES
X0214	C9H17NO4	37	2016_05: MIX-14 vs Blank POS	Acetylcarnitine	YES
X0215	189.985024	60	2016_05: MIX-14 vs Blank POS	MIX-14	NO
X0216	142.110224	35	2016_05: MIX-14 vs Blank POS	MIX-14	NO
X0217	184.120524	31	2016_05: MIX-14 vs Blank POS	MIX-14	NO
X0218	406.231024	37	2016_05: MIX-14 vs Blank POS	MIX-14	NO
X0219	484.087324	78	2016_05: MIX-14 vs Blank POS	MIX-14	NO
X0220	C8H16N4O3	143	2016_05: MIX-15 vs Blank POS	N-alpha-Acetyl-L-arginine	YES
X0221	C9H11NO2	143	2016_05: MIX-15 vs Blank POS	Phenylalanine	YES
X0222	C7H13NO3	36	2016_05: MIX-15 vs Blank POS	Isovalerylglycine	YES
X0223	C7H8N4O3	115	2016_05: MIX-16 vs Blank POS	"1,7-Dimethyluric acid"	YES
X0224	C7H13NO3S	36	2016_05: MIX-16 vs Blank POS	Acetylmethionine	YES
X0225	203.079024	155	2016_05: MIX-16 vs Blank POS	MIX-16	NO
X0226	226.021424	35	2016_05: MIX-16 vs Blank POS	MIX-16	NO
X0227	227.097624	155	2016_05: MIX-16 vs Blank POS	MIX-16	NO
X0228	C6H6N4O2	88	2016_05: MIX-17 vs Blank POS	7-Methylxanthine	YES
X0229	C10H12N4O6	151	2016_05: MIX-17 vs Blank POS	Xanthosine	YES
X0230	C12H22O11	192	2016_05: MIX-17 vs Blank POS	alpha-Lactose	YES
X0231	183.089264	151	2016_05: MIX-17 vs Blank POS	MIX-17	NO
X0232	382.061124	33	2016_05: MIX-17 vs Blank POS	MIX-17	NO
X0233	370.076214	193	2016_05: MIX-17 vs Blank POS	MIX-17	NO
X0234	201.039844	52	2016_05: MIX-17 vs Blank POS	MIX-17	NO
X0235	256.972854	69	2016_05: MIX-17 vs Blank POS	MIX-17	NO
