ID	mode	mz	assignation
X0222	POS	385.1321	[204+181.0710]+
X0222	POS	566.2027	[204+2(181.0710)]+
X0222	POS	747.2734	[204+3(181.0710)]+
X0223a	POS	459.0708	[+]
X0224	POS	449.07565	[+]
X0224	POS	662.1186	[+]
X0224	POS	875.1611	[+]
X0228	POS	220.01872	[+]
X0232	POS	203.0286	[405+H]2+
X0236	NEG	306.9192	[M-H+3(CHOONa)+NaCl]-
X0236	NEG	374.9066	[M-H+4(CHOONa)+NaCl]-
X0236	NEG	520.9103	[M-H+7(CHOONa)]-
X0236	NEG	520.91037	[2M-H+6(CHOONa)+Na-H]-
X0236	NEG	588.8978	[M-H+8(CHOONa)]-
X0236	NEG	588.89782	[2M-H+7(CHOONa)+Na-H]-
X0236	NEG	656.8852	[M-H+9(CHOONa)]-
X0236	NEG	656.88527	[2M-H+8(CHOONa)+Na-H]-
X0236	NEG	724.8727	[M-H+10(CHOONa)]-
X0236	NEG	724.87272	[2M-H+9(CHOONa)+Na-H]-
X0236	NEG	792.8601	[M-H+11(CHOONa)]-
X0236	NEG	792.86018	[2M-H+10(CHOONa)+Na-H]-
X0236	NEG	826.8526	[758.8652 + CHOONa]-
X0236	NEG	860.8476	[M-H+12(CHOONa)]-
X0236	NEG	860.84763	[2M-H+11(CHOONa)+Na-H]-
X0236	NEG	894.8401	[758.8652 + 2(CHOONa)]-
X0236	NEG	928.835	[M-H+13(CHOONa)]-
X0236	NEG	928.83554	[-]
X0236	NEG	962.8275	[758.8652 + 3(CHOONa)]-
X0236	NEG	996.8225	[M-H+14(CHOONa)]-
X0239	NEG	197.8076419	34S[M-H]-
X0239	NEG	199.8034379	2(34S)[M-H]-
X0239	NEG	199.8068559	36S[M-H]-
X0239	NEG	201.7992339	3(34S)[M-H]-
X0243	NEG	160.8428	[-]
X0244b	NEG	311.1692	[M-H-CH2]-
X0244b	NEG	312.1727	13C[M-H-CH2]-
X0244b	NEG	339.2005	[M-H+CH2]-
X0325	NEG	311.16971	[-]
X0331	NEG	112.9860479	[-]
X0333	NEG	411.653454	[-]
X0335a	NEG	195.8116936	[-]
X0336	NEG	401.0883674	[-]
X0341	NEG	591.090025	[-]
X0347	NEG	288.7129204	[-]
X0351	NEG	233.02964	[-]
X0365	NEG	724.8712	[-]
X0366	NEG	130.0512	[-]
X0371	NEG	511.0076	[-]
X0379	NEG	515.2187	[-]
X0379	NEG	516.2223	13C[515]-
X0379	NEG	561.2241	[515+FA]-
X0380	NEG	656.8837	[-]
X0392	NEG	216.0315	[-]
X0395	POS	906.8261057	[+]
X0399	NEG	419.9926	[-]
X0401	NEG	455.0501	[-]
X0403	NEG	215.054	[-]
X0407	POS	124.0158	[C2H6NO3P+H]+
X0411a	NEG	565.2569	[-]
X0429	POS	411.1647898	[+]
X0445	NEG	209.0672	[-]
X0466	POS	92.1109	[+]
X0470	NEG	424.84327	[-]
X0475	NEG	295.03407	[-]
X0478	NEG	207.83726	[-]
X0485	POS	168.0638888	[+]
X0485	POS	375.1128722	[+]
X0486	POS	529.413288	[+]
X0486	POS	617.4662092	[+]
X0486	POS	630.4779414	[+]
X0486	POS	665.4442631	[+]
X0489	POS	423.3316133	[440-NH3]+
X0489	POS	440.3583421	[+]
X0489	POS	489.3401261	[+]
X0489	POS	533.3658075	[+]
X0489	POS	542.4260286	[+]
X0489	POS	586.4519713	[+]
X0490	POS	62.02583556	[+]
X0490	POS	73.53335629	[+]
X0490	POS	94.0460045	[+]
X0490	POS	110.0098585	[128-H2O]+
X0490	POS	128.0193	[+]
X0493	POS	371.2279871	[+]
X0502	POS	459.2803268	[+]
X0502	POS	652.4112515	[+]
X0502	POS	696.4377365	[+]
X0509	POS	944.6395679	[+]
X0510	POS	434.6908371	[+]
X0510	POS	548.611221	[+]
X0510	POS	606.5698894	[+]
X0510	POS	608.566944	[+]
X0510	POS	778.4481514	[+]
X0510	POS	780.4456495	[+]
X0510	POS	786.437713	[+]
X0510	POS	"784.4399055	"	[+]
X0518	POS	753.4959624	[+]
X0524	POS	401.2874629	[+]
X0524	POS	498.3997218	[+]
X0524	POS	547.3812542	[+]
X0524	POS	591.406707	[+]
X0526	POS	157.0494268	[+]
X0529	POS	504.3346023	[+]
X0531	POS	474.3262354	[+]
X0535	POS	517.3408274	[+]
X0535	POS	606.4035388	[+]
X0600	POS	415.1765	[2(M+Na)+Na]+
X0691	POS	203.0874	[+]
X0706	POS	296.0089	[+]
