hmdb_id	name	mass	adduct	rt	polarity	source_id
HMDB0000139	Glyceric acid	106.0266087	[M-H]-	63.34	NEG	LCMS_polar_metabolome_standards_water
HMDB0000139	Glyceric acid	106.0266087	[M-H]-	83.4	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000630	Cytosine	111.0432618	[M+H]+	145.44	POS	LCMS_polar_metabolome_standards_water
HMDB0000630	Cytosine	111.0432618	[M-H]-	145.44	NEG	LCMS_polar_metabolome_standards_water
HMDB0000870	Histamine	111.0796473	[M+H]+	163.32	POS	LCMS_polar_metabolome_standards_water
HMDB0000300	Uracil	112.0272774	[M+H]+	57.51	POS	LCMS_polar_metabolome_standards_water
HMDB0000300	Uracil	112.0272774	[M-H]-	57.51	NEG	LCMS_polar_metabolome_standards_water
HMDB0000562	Creatinine	113.0589119	[M+H]+	99	POS	LCMS_polar_metabolome_standards_water
HMDB0000562	Creatinine	113.0589119	[M-H]-	99	NEG	LCMS_polar_metabolome_standards_water
HMDB0000562	Creatinine	113.0589119	[M+H]+	123	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000562	Creatinine	113.0589119	[M-H]-	126	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000162	L-Proline	115.0633285	[M+H]+	157.56	POS	LCMS_polar_metabolome_standards_water
HMDB0000162	L-Proline	115.0633285	[M-H]-	157.56	NEG	LCMS_polar_metabolome_standards_water
HMDB0000162	L-Proline	115.0633285	[M+H]+	163.2	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000162	L-Proline	115.0633285	[M-H]-	168.6	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000134	Fumaric acid	116.0109586	[M-H]-	35.64	NEG	LCMS_polar_metabolome_standards_water
HMDB0000134	Fumaric acid	116.0109586	[M-H]-	39	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000019	alpha-Ketoisovaleric acid	116.0473441	[M-H]-	31.98	NEG	LCMS_polar_metabolome_standards_water
HMDB0000019	alpha-Ketoisovaleric acid	116.0473441	[M-H]-	35.4	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000532	Acetylglycine	117.0425931	[M+H]+	47.52	POS	LCMS_polar_metabolome_standards_water
HMDB0000532	Acetylglycine	117.0425931	[M-H]-	47.52	NEG	LCMS_polar_metabolome_standards_water
HMDB0000532	Acetylglycine	117.0425931	[M-H]-	48	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000128	Guanidoacetic acid	117.0538265	[M+H]+	151.44	POS	LCMS_polar_metabolome_standards_water
HMDB0000128	Guanidoacetic acid	117.0538265	[M-H]-	151.44	NEG	LCMS_polar_metabolome_standards_water
HMDB0000128	Guanidoacetic acid	117.0538265	[M+H]+	156	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000883	L-Valine	117.0789786	[M+H]+	146.25	POS	LCMS_polar_metabolome_standards_water
HMDB0000883	L-Valine	117.0789786	[M-H]-	146.25	NEG	LCMS_polar_metabolome_standards_water
HMDB0000883	L-Valine	117.0789786	[M+H]+	157.8	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000043	Betaine	117.0789786	[M+H]+	157.86	POS	LCMS_polar_metabolome_standards_water
HMDB0000043	Betaine	117.0789786	[M+H]+	164.4	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000883	L-Valine	117.0789786	[M-H]-	164.4	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000254	Succinic acid	118.0266087	[M-H]-	34.4	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000254	Succinic acid	118.0266087	[M-H]-	36.18	NEG	LCMS_polar_metabolome_standards_water
HMDB0000167	L-Threonine	119.0582432	[M+H]+	169.29	POS	LCMS_polar_metabolome_standards_water
HMDB0000167	L-Threonine	119.0582432	[M-H]-	169.29	NEG	LCMS_polar_metabolome_standards_water
HMDB0000167	L-Threonine	119.0582432	[M+H]+	172.8	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000167	L-Threonine	119.0582432	[M-H]-	174.6	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000574	L-Cysteine	121.0197492	[M+H]+	165.3	POS	LCMS_polar_metabolome_standards_water
HMDB0000574	L-Cysteine	121.0197492	[M-H]-	165.3	NEG	LCMS_polar_metabolome_standards_water
HMDB0012275	Phenylethylamine	121.0891494	[M+H]+	37.8	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0012275	Phenylethylamine	121.0891494	[M+H]+	45	POS	LCMS_polar_metabolome_standards_water
HMDB0001406	Niacinamide	122.0480128	[M+H]+	43.86	POS	LCMS_polar_metabolome_standards_water
HMDB0001406	Niacinamide	122.0480128	[M+H]+	47.4	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0001488	Nicotinic acid	123.0320284	[M+H]+	35.73	POS	LCMS_polar_metabolome_standards_water
HMDB0001488	Nicotinic acid	123.0320284	[M-H]-	35.73	NEG	LCMS_polar_metabolome_standards_water
HMDB0000251	Taurine	125.0146638	[M+H]+	169.23	POS	LCMS_polar_metabolome_standards_water
HMDB0000251	Taurine	125.0146638	[M-H]-	169.23	NEG	LCMS_polar_metabolome_standards_water
HMDB0000251	Taurine	125.0146638	[M+H]+	171	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000251	Taurine	125.0146638	[M-H]-	172.2	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000262	Thymine	126.0429274	[M+H]+	42	POS	LCMS_polar_metabolome_standards_water
HMDB0000262	Thymine	126.0429274	[M-H]-	42	NEG	LCMS_polar_metabolome_standards_water
HMDB0000079	Dihydrothymine	128.0585775	[M+H]+	66.12	POS	LCMS_polar_metabolome_standards_water
HMDB0000267	Pyroglutamic acid	129.0425931	[M+H]+	54	POS	LCMS_polar_metabolome_standards_water
HMDB0000267	Pyroglutamic acid	129.0425931	[M+H]+	64.2	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000267	Pyroglutamic acid	129.0425931	[M-H]-	67.8	NEG	LCMS_polar_metabolome_standards_water
HMDB0000070	Pipecolic acid	129.0789786	[M+H]+	153.54	POS	LCMS_polar_metabolome_standards_water
HMDB0000070	Pipecolic acid	129.0789786	[M-H]-	153.54	NEG	LCMS_polar_metabolome_standards_water
HMDB0000070	Pipecolic acid	129.0789786	[M+H]+	154.2	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000695	Ketoleucine	130.0629942	[M-H]-	30	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000695	Ketoleucine	130.0629942	[M-H]-	30.42	NEG	LCMS_polar_metabolome_standards_water
HMDB0000766	N-Acetyl-L-alanine	131.0582432	[M+H]+	35.58	POS	LCMS_polar_metabolome_standards_water
HMDB0000766	N-Acetyl-L-alanine	131.0582432	[M-H]-	35.58	NEG	LCMS_polar_metabolome_standards_water
HMDB0000766	N-Acetyl-L-alanine	131.0582432	[M-H]-	40.8	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000725	4-Hydroxyproline	131.0582432	[M+H]+	170.94	POS	LCMS_polar_metabolome_standards_water
HMDB0000725	4-Hydroxyproline	131.0582432	[M-H]-	170.94	NEG	LCMS_polar_metabolome_standards_water
HMDB0000725	4-Hydroxyproline	131.0582432	[M+H]+	173.4	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000725	4-Hydroxyproline	131.0582432	[M-H]-	174	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000064	Creatine	131.0694765	[M+H]+	160.2	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000064	Creatine	131.0694765	[M-H]-	168	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000064	Creatine	131.0694765	[M+H]+	169.11	POS	LCMS_polar_metabolome_standards_water
HMDB0000064	Creatine	131.0694765	[M-H]-	169.11	NEG	LCMS_polar_metabolome_standards_water
HMDB0000687	L-Leucine	131.0946287	[M+H]+	138.6	POS	LCMS_polar_metabolome_standards_water
HMDB0000687	L-Leucine	131.0946287	[M-H]-	138.66	NEG	LCMS_polar_metabolome_standards_water
HMDB0000172	L-Isoleucine	131.0946287	[M+H]+	143.88	POS	LCMS_polar_metabolome_standards_water
HMDB0000172	L-Isoleucine	131.0946287	[M-H]-	143.88	NEG	LCMS_polar_metabolome_standards_water
HMDB0000687	L-Leucine	131.0946287	[M+H]+	144.6	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000687	L-Leucine	131.0946287	[M-H]-	144.6	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000172	L-Isoleucine	131.0946287	[M+H]+	148.2	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000172	L-Isoleucine	131.0946287	[M-H]-	148.2	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000661	Glutaric acid	132.0422587	[M-H]-	35.94	NEG	LCMS_polar_metabolome_standards_water
HMDB0000661	Glutaric acid	132.0422587	[M-H]-	39	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000026	Ureidopropionic acid	132.0534921	[M+H]+	77.37	POS	LCMS_polar_metabolome_standards_water
HMDB0000026	Ureidopropionic acid	132.0534921	[M-H]-	77.37	NEG	LCMS_polar_metabolome_standards_water
HMDB0000168	L-Asparagine	132.0534921	[M+H]+	181.8	POS	LCMS_polar_metabolome_standards_water
HMDB0000168	L-Asparagine	132.0534921	[M-H]-	181.8	NEG	LCMS_polar_metabolome_standards_water
HMDB0000168	L-Asparagine	132.0534921	[M+H]+	183.6	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000168	L-Asparagine	132.0534921	[M-H]-	184.8	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000214	Ornithine	132.0898776	[M+H]+	189.27	POS	LCMS_polar_metabolome_standards_water
HMDB0000214	Ornithine	132.0898776	[M-H]-	189.27	NEG	LCMS_polar_metabolome_standards_water
HMDB0000214	Ornithine	132.0898776	[M-H]-	192	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000214	Ornithine	132.0898776	[M+H]+	197.4	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000191	L-Aspartic acid	133.0375077	[M+H]+	177.93	POS	LCMS_polar_metabolome_standards_water
HMDB0000191	L-Aspartic acid	133.0375077	[M-H]-	177.93	NEG	LCMS_polar_metabolome_standards_water
HMDB0000191	L-Aspartic acid	133.0375077	[M+H]+	181.2	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000191	L-Aspartic acid	133.0375077	[M-H]-	183.6	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000156	L-Malic acid	134.0215233	[M-H]-	79.44	NEG	LCMS_polar_metabolome_standards_water
HMDB0000156	L-Malic acid	134.0215233	[M-H]-	108	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000742	Homocysteine	135.0353992	[M+H]+	155.4	POS	LCMS_polar_metabolome_standards_water
HMDB0000742	Homocysteine	135.0353992	[M-H]-	155.4	NEG	LCMS_polar_metabolome_standards_water
HMDB0000943	Threonic acid	136.0371734	[M-H]-	116.1	NEG	LCMS_polar_metabolome_standards_water
HMDB0000943	Threonic acid	136.0371734	[M-H]-	120.7	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000157	Hypoxanthine	136.0385108	[M+H]+	114	POS	LCMS_polar_metabolome_standards_water
HMDB0000157	Hypoxanthine	136.0385108	[M-H]-	114	NEG	LCMS_polar_metabolome_standards_water
HMDB0000157	Hypoxanthine	136.0385108	[M+H]+	124.2	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000157	Hypoxanthine	136.0385108	[M-H]-	126	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000209	Phenylacetic acid	136.0524295	[M+H]+	29.88	POS	LCMS_polar_metabolome_standards_water
HMDB0000209	Phenylacetic acid	136.0524295	[M-H]-	29.88	NEG	LCMS_polar_metabolome_standards_water
HMDB0001392	p-Aminobenzoic acid	137.0476785	[M+H]+	35.01	POS	LCMS_polar_metabolome_standards_water
HMDB0001392	p-Aminobenzoic acid	137.0476785	[M-H]-	35.01	NEG	LCMS_polar_metabolome_standards_water
HMDB0000306	Tyramine	137.084064	[M+H]+	47.4	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000306	Tyramine	137.084064	[M+H]+	48	POS	LCMS_polar_metabolome_standards_water
HMDB0001895	Salicylic acid	138.0316941	[M+H]+	28.8	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0001895	Salicylic acid	138.0316941	[M+H]+	30.96	POS	LCMS_polar_metabolome_standards_water
HMDB0001895	Salicylic acid	138.0316941	[M-H]-	30.96	NEG	LCMS_polar_metabolome_standards_water
HMDB0001895	Salicylic acid	138.0316941	[M-H]-	33.6	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000224	O-Phosphoethanolamine	141.0190943	[M-H]-	182.4	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000224	O-Phosphoethanolamine	141.0190943	[M+H]+	197.34	POS	LCMS_polar_metabolome_standards_water
HMDB0000224	O-Phosphoethanolamine	141.0190943	[M-H]-	197.34	NEG	LCMS_polar_metabolome_standards_water
HMDB0001257	Spermidine	145.1578976	[M+H]+	186.36	POS	LCMS_polar_metabolome_standards_water
HMDB0000208	Oxoglutaric acid	146.0215233	[M-H]-	60.12	NEG	LCMS_polar_metabolome_standards_water
HMDB0000208	Oxoglutaric acid	146.0215233	[M-H]-	78	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000641	L-Glutamine	146.0691422	[M+H]+	176.28	POS	LCMS_polar_metabolome_standards_water
HMDB0000641	L-Glutamine	146.0691422	[M-H]-	176.28	NEG	LCMS_polar_metabolome_standards_water
HMDB0000641	L-Glutamine	146.0691422	[M+H]+	179.4	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000641	L-Glutamine	146.0691422	[M-H]-	180.6	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000182	L-Lysine	146.1055277	[M+H]+	186.03	POS	LCMS_polar_metabolome_standards_water
HMDB0000182	L-Lysine	146.1055277	[M-H]-	186.03	NEG	LCMS_polar_metabolome_standards_water
HMDB0000182	L-Lysine	146.1055277	[M-H]-	190.2	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000182	L-Lysine	146.1055277	[M+H]+	195	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0002931	N-Acetylserine	147.0531578	[M-H]-	72	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0002931	N-Acetylserine	147.0531578	[M+H]+	72.96	POS	LCMS_polar_metabolome_standards_water
HMDB0002931	N-Acetylserine	147.0531578	[M-H]-	72.96	NEG	LCMS_polar_metabolome_standards_water
HMDB0002931	N-Acetylserine	147.0531578	[M+H]+	73.8	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000148	L-Glutamic acid	147.0531578	[M+H]+	172.35	POS	LCMS_polar_metabolome_standards_water
HMDB0000148	L-Glutamic acid	147.0531578	[M-H]-	172.35	NEG	LCMS_polar_metabolome_standards_water
HMDB0000148	L-Glutamic acid	147.0531578	[M+H]+	173.4	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000148	L-Glutamic acid	147.0531578	[M-H]-	175.2	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000227	Mevalonic acid	148.0735589	[M-H]-	37.56	NEG	LCMS_polar_metabolome_standards_water
HMDB0000227	Mevalonic acid	148.0735589	[M-H]-	48	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000696	L-Methionine	149.0510493	[M+H]+	151.02	POS	LCMS_polar_metabolome_standards_water
HMDB0000696	L-Methionine	149.0510493	[M-H]-	151.02	NEG	LCMS_polar_metabolome_standards_water
HMDB0000696	L-Methionine	149.0510493	[M+H]+	157.2	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000132	Guanine	151.0494098	[M+H]+	151.11	POS	LCMS_polar_metabolome_standards_water
HMDB0000132	Guanine	151.0494098	[M-H]-	151.11	NEG	LCMS_polar_metabolome_standards_water
HMDB0000132	Guanine	151.0494098	[M+H]+	163.2	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0001859	Acetaminophen	151.0633285	[M+H]+	34.83	POS	LCMS_polar_metabolome_standards_water
HMDB0001859	Acetaminophen	151.0633285	[M-H]-	34.83	NEG	LCMS_polar_metabolome_standards_water
HMDB0000292	Xanthine	152.0334254	[M+H]+	136.29	POS	LCMS_polar_metabolome_standards_water
HMDB0000292	Xanthine	152.0334254	[M-H]-	136.29	NEG	LCMS_polar_metabolome_standards_water
HMDB0000292	Xanthine	152.0334254	[M+H]+	139.2	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000292	Xanthine	152.0334254	[M-H]-	141	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000020	p-Hydroxyphenylacetic acid	152.0473441	[M-H]-	33.6	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000020	p-Hydroxyphenylacetic acid	152.0473441	[M-H]-	35.76	NEG	LCMS_polar_metabolome_standards_water
HMDB0000073	Dopamine	153.0789786	[M+H]+	126.6	POS	LCMS_polar_metabolome_standards_water
HMDB0000073	Dopamine	153.0789786	[M-H]-	126.6	NEG	LCMS_polar_metabolome_standards_water
HMDB0000177	L-Histidine	155.0694765	[M+H]+	186.36	POS	LCMS_polar_metabolome_standards_water
HMDB0000177	L-Histidine	155.0694765	[M-H]-	186.36	NEG	LCMS_polar_metabolome_standards_water
HMDB0000177	L-Histidine	155.0694765	[M-H]-	190.2	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000177	L-Histidine	155.0694765	[M+H]+	193.8	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000226	Orotic acid	156.0171066	[M+H]+	160.17	POS	LCMS_polar_metabolome_standards_water
HMDB0000226	Orotic acid	156.0171066	[M-H]-	160.17	NEG	LCMS_polar_metabolome_standards_water
HMDB0003349	L-Dihydroorotic acid	158.0327567	[M+H]+	95.01	POS	LCMS_polar_metabolome_standards_water
HMDB0003349	L-Dihydroorotic acid	158.0327567	[M-H]-	95.01	NEG	LCMS_polar_metabolome_standards_water
HMDB0000462	Allantoin	158.0439901	[M+H]+	133.8	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000462	Allantoin	158.0439901	[M+H]+	134.28	POS	LCMS_polar_metabolome_standards_water
HMDB0000462	Allantoin	158.0439901	[M-H]-	134.28	NEG	LCMS_polar_metabolome_standards_water
HMDB0000462	Allantoin	158.0439901	[M-H]-	139.8	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000635	Succinylacetone	158.0579088	[M+H]+	28.8	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000635	Succinylacetone	158.0579088	[M+H]+	32.25	POS	LCMS_polar_metabolome_standards_water
HMDB0000635	Succinylacetone	158.0579088	[M-H]-	32.25	NEG	LCMS_polar_metabolome_standards_water
HMDB0000635	Succinylacetone	158.0579088	[M-H]-	34.2	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000678	Isovalerylglycine	159.0895433	[M+H]+	35.55	POS	LCMS_polar_metabolome_standards_water
HMDB0000678	Isovalerylglycine	159.0895433	[M-H]-	35.55	NEG	LCMS_polar_metabolome_standards_water
HMDB0000678	Isovalerylglycine	159.0895433	[M-H]-	37.8	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0029573	Diethyl malonate	160.0735589	[M+H]+	27.12	POS	LCMS_polar_metabolome_standards_water
HMDB0000303	Tryptamine	160.10005	[M+H]+	54	POS	LCMS_polar_metabolome_standards_water
HMDB0000510	Aminoadipic acid	161.0688078	[M+H]+	165.69	POS	LCMS_polar_metabolome_standards_water
HMDB0000510	Aminoadipic acid	161.0688078	[M-H]-	165.69	NEG	LCMS_polar_metabolome_standards_water
HMDB0000510	Aminoadipic acid	161.0688078	[M+H]+	166.2	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000510	Aminoadipic acid	161.0688078	[M-H]-	169.2	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000062	L-Carnitine	161.1051934	[M+H]+	83.16	POS	LCMS_polar_metabolome_standards_water
HMDB0000062	L-Carnitine	161.1051934	[M-H]-	83.161	NEG	LCMS_polar_metabolome_standards_water
HMDB0000062	L-Carnitine	161.1051934	[M+H]+	120	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0001934	Nicotine	162.1156985	[M+H]+	34.62	POS	LCMS_polar_metabolome_standards_water
HMDB0001934	Nicotine	162.1156985	[M+H]+	35.4	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000205	Phenylpyruvic acid	164.0473441	[M-H]-	32.34	NEG	LCMS_polar_metabolome_standards_water
HMDB0002712	1,5-Anhydrosorbitol	164.0684735	[M+Na]+	123.9	POS	LCMS_polar_metabolome_standards_water
HMDB0002712	1,5-Anhydrosorbitol	164.0684735	[M-H]-	123.9	NEG	LCMS_polar_metabolome_standards_water
HMDB0002712	1,5-Anhydrosorbitol	164.0684735	[M+Na]+	129.6	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0002712	1,5-Anhydrosorbitol	164.0684735	[M-H]-	132	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0002005	Methionine sulfoxide	165.0459639	[M+H]+	180.48	POS	LCMS_polar_metabolome_standards_water
HMDB0002005	Methionine sulfoxide	165.0459639	[M-H]-	180.48	NEG	LCMS_polar_metabolome_standards_water
HMDB0002005	Methionine sulfoxide	165.0459639	[M+H]+	182.4	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0002005	Methionine sulfoxide	165.0459639	[M-H]-	183.6	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000159	L-Phenylalanine	165.0789786	[M+H]+	143.97	POS	LCMS_polar_metabolome_standards_water
HMDB0000159	L-Phenylalanine	165.0789786	[M-H]-	143.97	NEG	LCMS_polar_metabolome_standards_water
HMDB0000159	L-Phenylalanine	165.0789786	[M+H]+	149.4	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000159	L-Phenylalanine	165.0789786	[M-H]-	154.2	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0010738	1-Methylxanthine	166.0490755	[M+H]+	68.73	POS	LCMS_polar_metabolome_standards_water
HMDB0010738	1-Methylxanthine	166.0490755	[M-H]-	68.73	NEG	LCMS_polar_metabolome_standards_water
HMDB0010738	1-Methylxanthine	166.0490755	[M-H]-	72	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0001886	3-Methylxanthine	166.0490755	[M+H]+	76.02	POS	LCMS_polar_metabolome_standards_water
HMDB0001886	3-Methylxanthine	166.0490755	[M-H]-	76.02	NEG	LCMS_polar_metabolome_standards_water
HMDB0001886	3-Methylxanthine	166.0490755	[M-H]-	78	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0001991	7-Methylxanthine	166.0490755	[M+H]+	87.51	POS	LCMS_polar_metabolome_standards_water
HMDB0001991	7-Methylxanthine	166.0490755	[M-H]-	87.51	NEG	LCMS_polar_metabolome_standards_water
HMDB0001991	7-Methylxanthine	166.0490755	[M+H]+	89.4	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0001991	7-Methylxanthine	166.0490755	[M-H]-	90	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000232	Quinolinic acid	167.0218577	[M+H]+	120	POS	LCMS_polar_metabolome_standards_water
HMDB0000232	Quinolinic acid	167.0218577	[M-H]-	120	NEG	LCMS_polar_metabolome_standards_water
HMDB0000263	Phosphoenolpyruvic acid	167.9823744	[M+H]+	191.85	POS	LCMS_polar_metabolome_standards_water
HMDB0000263	Phosphoenolpyruvic acid	167.9823744	[M-H]-	191.85	NEG	LCMS_polar_metabolome_standards_water
HMDB0000263	Phosphoenolpyruvic acid	167.9823744	[M+H]+	206.4	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000289	Uric acid	168.02834	[M-H]-	169.56	NEG	LCMS_polar_metabolome_standards_water
